,lat,lon
0,-8.04764168555793,-34.94785647352565
1,-8.052920816528568,-34.955772608995154
2,-8.050606658998795,-34.947667068580195
3,-8.048855182941535,-34.95263694248104
4,-8.047826735864762,-34.94660084265319
5,-8.051314504349556,-34.95032563910628
6,-8.049374763759367,-34.95036514034117
7,-8.055726114982852,-34.950651672198276
8,-8.055476951952064,-34.95598876101014
9,-8.048890987553294,-34.95151971158144
10,-8.052604756977091,-34.94821946741865
11,-8.055618145394595,-34.95272843011481
12,-8.055477510444767,-34.95598530930119
13,-8.054023024893466,-34.950697672599524
14,-8.047434930111073,-34.94773668123088
15,-8.055295492724664,-34.95414578971674
16,-8.048706582867787,-34.952678842340546
17,-8.05578354543037,-34.95589628009336
18,-8.048738786305998,-34.950738149975145
19,-8.048503864719176,-34.947115891343124
20,-8.054328615050169,-34.94979710137203
21,-8.049817588697694,-34.9527140547738
22,-8.054447115985361,-34.95379827488319
23,-8.054874997792606,-34.95477595261817
24,-8.054980519350451,-34.953361842459024
25,-8.047232568055573,-34.95386351150882
26,-8.055729355238071,-34.95512175267211
27,-8.05189947830619,-34.946314632221736
28,-8.050617810809966,-34.953232890855276
29,-8.055417004129923,-34.958339939303556
30,-8.05204508437658,-34.94845948072422
31,-8.049802769030027,-34.94899571688294
32,-8.055235461141365,-34.95253807230882
33,-8.055050658985472,-34.95345687524072
34,-8.051391570409178,-34.951228356294635
35,-8.052142691511982,-34.9481941311251
36,-8.054510691363443,-34.95937468405921
37,-8.049393973372672,-34.95649544610325
38,-8.049493619017097,-34.950448784870154
39,-8.04835650925601,-34.95906272646321
40,-8.049544244548953,-34.94936876859428
41,-8.055527686052432,-34.95047724849331
42,-8.050422603056308,-34.95329220164475
43,-8.051928658229643,-34.9572469420689
44,-8.052003754997406,-34.94827677322622
45,-8.055422936083524,-34.95620688248738
46,-8.047160276759858,-34.95060585363737
47,-8.048499178656506,-34.94712600761526
48,-8.05683111608755,-34.94925285308246
49,-8.050815826013043,-34.94695797807818
50,-8.05039982067065,-34.950593730769135
51,-8.05049338515846,-34.948455450671986
52,-8.0545211995092,-34.956137081105126
53,-8.052446938955322,-34.959744447603974
54,-8.058516086242424,-34.94773505665951
55,-8.050488313052726,-34.95062728151514
56,-8.05135150016489,-34.949558988862215
57,-8.04849362782375,-34.947137070037066
58,-8.055311324309496,-34.95414565833928
59,-8.052706524861096,-34.9466984280057
60,-8.047452232804918,-34.94762334363604
61,-8.051276206036283,-34.95066082391451
62,-8.052962774598418,-34.94839550114741
63,-8.0483294204934,-34.947393787377216
64,-8.052410296026626,-34.95936711541439
65,-8.056803486768114,-34.94777402996165
66,-8.054983260515263,-34.959098639939036
67,-8.047110351777649,-34.95028218176132
68,-8.049395344224703,-34.95943670733728
69,-8.048681712455984,-34.94663033951737
70,-8.046751410163195,-34.94803848454427
71,-8.049948844926996,-34.95069572135567
