,lat,lon
0,-8.048011791044775,-34.9476615945946
1,-8.053240447761192,-34.9553981891892
2,-8.050490895522387,-34.94761635135136
3,-8.048011791044775,-34.95119056756757
4,-8.054502537313432,-34.94969754054055
5,-8.051437462686566,-34.95051191891892
6,-8.048732985074626,-34.95046667567568
7,-8.055404029850745,-34.95119056756757
8,-8.05544910447761,-34.95621256756757
9,-8.048823134328357,-34.95110008108109
10,-8.054141940298507,-34.94938083783784
11,-8.055088507462685,-34.953317000000006
12,-8.055404029850745,-34.956393540540546
13,-8.051257164179104,-34.9530002972973
14,-8.047696268656717,-34.948295
15,-8.055674477611939,-34.95399564864865
16,-8.048778059701492,-34.95295505405406
17,-8.055674477611939,-34.956167324324326
18,-8.048732985074626,-34.95051191891892
19,-8.048552686567163,-34.946937702702705
20,-8.046659552238806,-34.945127972972976
21,-8.049679552238805,-34.95281932432433
22,-8.054637761194028,-34.95358845945946
23,-8.055674477611939,-34.95548867567568
24,-8.055133582089551,-34.95345272972973
25,-8.04733567164179,-34.953905162162165
26,-8.055719552238804,-34.95499100000001
27,-8.051437462686566,-34.94607808108108
28,-8.050626119402985,-34.95322651351352
29,-8.055719552238804,-34.95892716216217
30,-8.052068507462685,-34.94888316216217
31,-8.049228805970149,-34.94752586486487
32,-8.055268805970147,-34.95363370270271
33,-8.054863134328357,-34.954131378378385
34,-8.0513923880597,-34.95114532432433
35,-8.052293880597015,-34.947978297297304
36,-8.054412388059701,-34.9593795945946
37,-8.049138656716417,-34.95652927027027
38,-8.049409104477611,-34.950240459459465
39,-8.048237164179104,-34.959017648648654
40,-8.047921641791044,-34.94748062162163
41,-8.055358955223879,-34.950647648648655
42,-8.050400746268656,-34.95313602702703
43,-8.051798059701492,-34.957388891891895
44,-8.051888208955223,-34.948747432432434
45,-8.055358955223879,-34.95625781081082
46,-8.046975074626864,-34.95055716216217
47,-8.047921641791044,-34.9470281891892
48,-8.058559253731342,-34.949245108108116
49,-8.051617761194029,-34.94743537837838
50,-8.050085223880597,-34.95060240540541
51,-8.05026552238806,-34.94929035135136
52,-8.05409686567164,-34.95580537837838
53,-8.052384029850746,-34.959877270270276
54,-8.059280447761193,-34.947163918918925
55,-8.050220447761193,-34.95051191891892
56,-8.059190298507461,-34.94729964864865
57,-8.047425820895521,-34.94698294594595
58,-8.055494179104477,-34.95548867567568
59,-8.05306014925373,-34.94517321621622
60,-8.047110298507462,-34.94752586486487
61,-8.051257164179104,-34.95055716216217
62,-8.052474179104477,-34.94802354054055
63,-8.04796671641791,-34.94743537837838
64,-8.052744626865671,-34.95974154054054
65,-8.057612686567163,-34.946575756756765
66,-8.055404029850745,-34.95865570270271
67,-8.047020149253731,-34.94974278378379
68,-8.049409104477611,-34.95951532432433
69,-8.045442537313432,-34.94530894594595
70,-8.047155373134327,-34.94748062162163
71,-8.051752985074625,-34.94865694594595
72,-8.055674477611939,-34.95399564864865
73,-8.053736268656715,-34.94788781081082
74,-8.0483723880597,-34.94725440540541
75,-8.051662835820894,-34.949607054054056
76,-8.052293880597015,-34.94770683783784
77,-8.04828223880597,-34.959198621621624
78,-8.052384029850746,-34.948295
79,-8.058604328358207,-34.94956181081081
